,Districts,NCDVI
0,DHUBRI,0.996980172
1,KOKRAJHAR,0.191079136
2,BONGAIGAON,0.101859799
3,GOALPARA,0.270292168
4,BARPETA,0.914108528
5,NALBARI,0.115214355
6,KAMRUP,0.83438206
7,DARRANG,0.205715437
8,SONITPUR,1
9,LAKHIMPUR,0.327413623
10,DHEMAJI,0.099848461
11,MARIGAON,0.232392343
12,NAGAON,0.786115928
13,GOLAGHAT,0.365803766
14,JORHAT,0.394657739
15,SIBSAGAR,0.438936934
16,DIBRUGARH,0.645386993
17,TINSUKIA,0.645052417
18,KARBI ANGLONG,0.251323948
19,KARIMGANJ,0.458799547
20,HAILAKANDI,0.070452804
21,CACHAR,0.944876479
22,Baksa,0.250673922
23,Dima Hasao,0
24,Udalguri,0.16339822
25,Kamrup Metropolitan,0.515645499
